"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"3","3","0.1","0.001","0.5","0.54319","1.0","0.70399","0.5","0.59777","1.0","0.74825","0.5918615","5.8861252750000146e-05"
"3","3","0.01","0.001","0.50145","0.5807","1.0","0.73474","0.5","0.45251","1.0","0.62308","0.638866","0.0015779584640000003"
"3","3","0.001","0.001","0.78296","0.72687","0.89674","0.80292","0.78439","0.75455","0.85567","0.80193","0.5393755","0.00083986426475"
"3","3","0.0001","0.001","0.70726","0.53603","1.0","0.69794","0.75475","0.55866","1.0","0.71685","0.5874244999999999","2.8027234750000086e-05"
"3","3","1e-05","0.001","0.71464","0.55415","1.0","0.71312","0.74289","0.59218","1.0","0.74386","0.6813680000000001","0.004317048706"
"3","3","0.1","0.0001","0.71169","0.52971","1.0","0.69256","0.7473","0.53631","1.0","0.69818","0.596965","9.99206050000001e-05"
"3","3","0.01","0.0001","0.8002","0.79556","0.86444","0.82857","0.81205","0.79487","0.86916","0.83036","0.5232499999999999","0.002733626610000001"
"3","3","0.001","0.0001","0.66844","0.74697","0.83298","0.78763","0.75326","0.75238","0.82292","0.78607","0.5768840000000001","0.0004991442639999997"
"3","3","0.0001","0.0001","0.75233","0.5394","1.0","0.70079","0.7791","0.5419","1.0","0.7029","0.669409","0.005205930549"
"3","3","1e-05","0.0001","0.73293","0.0","0.0","0.0","0.77842","0.73451","0.83","0.77934","0.618101","0.0013700822090000001"
"3","3","0.1","1e-05","0.75098","0.57817","1.0","0.73271","0.77503","0.58659","1.0","0.73944","0.604241","0.0001079842189999999"
"3","3","0.01","1e-05","0.77049","0.70917","0.87974","0.7853","0.78228","0.71901","0.87","0.78733","0.6231644999999999","0.0018007349147500002"
"3","3","0.001","1e-05","0.79933","0.76184","0.86482","0.81007","0.78832","0.7459","0.8835","0.80889","0.5182535","0.0018336164827499998"
"3","3","0.0001","1e-05","0.68854","0.69451","0.8676","0.77147","0.71542","0.74286","0.79592","0.76847","0.584339","4.235328999999999e-06"
"3","3","1e-05","1e-05","0.72731","0.60165","0.93148","0.73109","0.76712","0.0","0.0","0.0","0.6175305000000001","0.0011904343447500002"
"3","3","0.1","1e-06","0.42352","0.61947","1.0","0.76503","0.48921","0.68156","1.0","0.81063","0.5952045","0.00010979608475000013"
"3","3","0.01","1e-06","0.79386","0.74749","0.91396","0.82238","0.82222","0.7931","0.77528","0.78409","0.5207490000000001","0.001448768719"
"3","3","0.001","1e-06","0.66179","0.69565","0.88542","0.77915","0.73327","0.72381","0.84444","0.77949","0.5574935000000001","0.00102978318275"
"3","3","0.0001","1e-06","0.73872","0.68528","0.92255","0.78641","0.73456","0.7265","0.85","0.78341","0.5884935","3.286279274999998e-05"
"3","3","1e-05","1e-06","0.75799","0.0","0.0","0.0","0.78445","0.0","0.0","0.0","0.7284305","0.00245145755475"
"3","3","0.1","1e-07","0.7285","0.54404","1.0","0.70469","0.72809","0.50279","1.0","0.66914","0.600948","0.00013021800599999985"
"3","3","0.01","1e-07","0.81013","0.76877","0.89679","0.82786","0.78604","0.7766","0.79348","0.78495","0.5280935","0.0019158754427499995"
"3","3","0.001","1e-07","0.81089","0.77554","0.8716","0.82077","0.81013","0.78947","0.86538","0.82569","0.5113949999999999","0.0024721139549999994"
